country_or_region,year,variable,capacity_gw,cap_built,,unit,,,,,,,
Italy,2000,Bioenergy,0.4,,0,GW,,,,,,,
Italy,2000,Clean,17.9,,0,GW,,,,,,,
Italy,2000,Coal,8.67,,0,GW,,,,,,,
Italy,2000,Fossil,64.05,,0,GW,,,,,,,
Italy,2000,Gas,53.35,,0,GW,,,,,,,
Italy,2000,Hydro,16.39,,0,GW,,,,,,,
Italy,2000,Nuclear,,,0,GW,,,,,,53.35,10.67
Italy,2000,Other Fossil,2.03,,0,GW,,,,,,,
Italy,2000,Other Renewables,0.73,,0,GW,,,,,,,0.05
Italy,2000,Solar,0.02,,0,GW,,,,,,,
Italy,2000,Wind,0.36,,0,GW,,,,,,,
Italy,2000,Wind and solar,0.38,,0,GW,,,,,,,
Italy,2001,Bioenergy,0.42,0.02,0.02,GW,,,,,,,
Italy,2001,Clean,18.29,0.39,0.39,GW,,,,,,,
Italy,2001,Coal,8.6,-0.07,0,GW,,,,,,,
Italy,2001,Fossil,64.3,0.25,0.25,GW,,,,,,,
Italy,2001,Gas,53.57,0.22,0.22,GW,,,,,,,
Italy,2001,Hydro,16.46,0.07,0.07,GW,,,,,,,
Italy,2001,Nuclear,,0,0,GW,,,,,,,
Italy,2001,Other Fossil,2.13,0.1,0.1,GW,,,,,,,
Italy,2001,Other Renewables,0.73,0,0,GW,,,,,,,
Italy,2001,Solar,0.02,0,0,GW,,,,,,,
Italy,2001,Wind,0.66,0.3,0.3,GW,,,,,,,
Italy,2001,Wind and solar,0.68,0.3,0.3,GW,,,,,,,
Italy,2002,Bioenergy,0.51,0.09,0.09,GW,,,,,,,
Italy,2002,Clean,18.73,0.44,0.44,GW,,,,,,,
Italy,2002,Coal,8.6,0,0,GW,,,,,,,
Italy,2002,Fossil,64.27,-0.03,0,GW,,,,,,,
Italy,2002,Gas,53.54,-0.03,0,GW,,,,,,,
Italy,2002,Hydro,16.56,0.1,0.1,GW,,,,,,,
Italy,2002,Nuclear,,0,0,GW,,,,,,,
Italy,2002,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2002,Other Renewables,0.86,0.13,0.13,GW,,,,,,,
Italy,2002,Solar,0.02,0,0,GW,,,,,,,
Italy,2002,Wind,0.78,0.12,0.12,GW,,,,,,,
Italy,2002,Wind and solar,0.8,0.12,0.12,GW,,,,,,,
Italy,2003,Bioenergy,0.64,0.13,0.13,GW,,,,,,,
Italy,2003,Clean,19.17,0.44,0.44,GW,,,,,,,
Italy,2003,Coal,8.6,0,0,GW,,,,,,,
Italy,2003,Fossil,65.51,1.24,1.24,GW,,,,,,,
Italy,2003,Gas,54.78,1.24,1.24,GW,,,,,,,
Italy,2003,Hydro,16.7,0.14,0.14,GW,,,,,,,
Italy,2003,Nuclear,,0,0,GW,,,,,,,
Italy,2003,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2003,Other Renewables,0.93,0.07,0.07,GW,,,,,,,
Italy,2003,Solar,0.03,0.01,0.01,GW,,,,,,,
Italy,2003,Wind,0.87,0.09,0.09,GW,,,,,,,
Italy,2003,Wind and solar,0.9,0.1,0.1,GW,,,,,,,
Italy,2004,Bioenergy,0.65,0.01,0.01,GW,,,,,,,
Italy,2004,Clean,19.47,0.3,0.3,GW,,,,,,,
Italy,2004,Coal,8.35,-0.25,0,GW,,,,,,,
Italy,2004,Fossil,68.1,2.59,2.59,GW,,,,,,,
Italy,2004,Gas,57.62,2.84,2.84,GW,,,,,,,
Italy,2004,Hydro,16.79,0.09,0.09,GW,,,,,,,
Italy,2004,Nuclear,,0,0,GW,,,,,,,
Italy,2004,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2004,Other Renewables,0.87,-0.06,0,GW,,,,,,,
Italy,2004,Solar,0.03,0,0,GW,,,,,,,
Italy,2004,Wind,1.13,0.26,0.26,GW,,,,,,,
Italy,2004,Wind and solar,1.16,0.26,0.26,GW,,,,,,,
Italy,2005,Bioenergy,0.64,-0.01,0,GW,,,,,,,
Italy,2005,Clean,20.24,0.77,0.77,GW,,,,,,,
Italy,2005,Coal,8.7,0.35,0.35,GW,,,,,,,
Italy,2005,Fossil,71.7,3.6,3.6,GW,,,,,,,
Italy,2005,Gas,60.79,3.17,3.17,GW,,,,,,,
Italy,2005,Hydro,17.04,0.25,0.25,GW,,,,,,,
Italy,2005,Nuclear,,0,0,GW,,,,,,,
Italy,2005,Other Fossil,2.21,0.08,0.08,GW,,,,,,,
Italy,2005,Other Renewables,0.9,0.03,0.03,GW,,,,,,,
Italy,2005,Solar,0.03,0,0,GW,,,,,,,
Italy,2005,Wind,1.63,0.5,0.5,GW,,,,,,,
Italy,2005,Wind and solar,1.66,0.5,0.5,GW,,,,,,,
Italy,2006,Bioenergy,0.65,0.01,0.01,GW,,,,,,,
Italy,2006,Clean,20.63,0.39,0.39,GW,,,,,,,
Italy,2006,Coal,8.7,0,0,GW,,,,,,,
Italy,2006,Fossil,75.22,3.52,3.52,GW,,,,,,,
Italy,2006,Gas,64.31,3.52,3.52,GW,,,,,,,
Italy,2006,Hydro,17.11,0.07,0.07,GW,,,,,,,
Italy,2006,Nuclear,,0,0,GW,,,,,,,
Italy,2006,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2006,Other Renewables,0.92,0.02,0.02,GW,,,,,,,
Italy,2006,Solar,0.05,0.02,0.02,GW,,,,,,,
Italy,2006,Wind,1.9,0.27,0.27,GW,,,,,,,
Italy,2006,Wind and solar,1.95,0.29,0.29,GW,,,,,,,
Italy,2007,Bioenergy,0.69,0.04,0.04,GW,,,,,,,
Italy,2007,Clean,21.6,0.97,0.97,GW,,,,,,,
Italy,2007,Coal,8.7,0,0,GW,,,,,,,
Italy,2007,Fossil,78.37,3.15,3.15,GW,,,,,,,
Italy,2007,Gas,67.46,3.15,3.15,GW,,,,,,,
Italy,2007,Hydro,17.16,0.05,0.05,GW,,,,,,,
Italy,2007,Nuclear,,0,0,GW,,,,,,,
Italy,2007,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2007,Other Renewables,0.94,0.02,0.02,GW,,,,,,,
Italy,2007,Solar,0.11,0.06,0.06,GW,,,,,,,
Italy,2007,Wind,2.7,0.8,0.8,GW,,,,,,,
Italy,2007,Wind and solar,2.81,0.86,0.86,GW,,,,,,,
Italy,2008,Bioenergy,0.88,0.19,0.19,GW,,,,,,,
Italy,2008,Clean,23.16,1.56,1.56,GW,,,,,,,
Italy,2008,Coal,8.06,-0.64,0,GW,,,,,,,
Italy,2008,Fossil,81.22,2.85,2.85,GW,,,,,,,
Italy,2008,Gas,70.95,3.49,3.49,GW,,,,,,,
Italy,2008,Hydro,17.32,0.16,0.16,GW,,,,,,,
Italy,2008,Nuclear,,0,0,GW,,,,,,,
Italy,2008,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2008,Other Renewables,0.95,0.01,0.01,GW,,,,,,,
Italy,2008,Solar,0.48,0.37,0.37,GW,,,,,,,
Italy,2008,Wind,3.53,0.83,0.83,GW,,,,,,,
Italy,2008,Wind and solar,4.01,1.2,1.2,GW,,,,,,,
Italy,2009,Bioenergy,1.17,0.29,0.29,GW,,,,,,,
Italy,2009,Clean,25.77,2.61,2.61,GW,,,,,,,
Italy,2009,Coal,8.72,0.66,0.66,GW,,,,,,,
Italy,2009,Fossil,82.07,0.85,0.85,GW,,,,,,,
Italy,2009,Gas,71.14,0.19,0.19,GW,,,,,,,
Italy,2009,Hydro,17.41,0.09,0.09,GW,,,,,,,
Italy,2009,Nuclear,,0,0,GW,,,,,,,
Italy,2009,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2009,Other Renewables,1.05,0.1,0.1,GW,,,,,,,
Italy,2009,Solar,1.26,0.78,0.78,GW,,,,,,,
Italy,2009,Wind,4.88,1.35,1.35,GW,,,,,,,
Italy,2009,Wind and solar,6.14,2.13,2.13,GW,,,,,,,
Italy,2010,Bioenergy,1.47,0.3,0.3,GW,,,,,,,
Italy,2010,Clean,29.51,3.74,3.74,GW,,,,,,,
Italy,2010,Coal,10.04,1.32,1.32,GW,,,,,,,
Italy,2010,Fossil,84.71,2.64,2.64,GW,,,,,,,
Italy,2010,Gas,72.46,1.32,1.32,GW,,,,,,,
Italy,2010,Hydro,17.56,0.15,0.15,GW,,,,,,,
Italy,2010,Nuclear,,0,0,GW,,,,,,,
Italy,2010,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2010,Other Renewables,1.09,0.04,0.04,GW,,,,,,,
Italy,2010,Solar,3.6,2.34,2.34,GW,,,,,,,
Italy,2010,Wind,5.79,0.91,0.91,GW,,,,,,,
Italy,2010,Wind and solar,9.39,3.25,3.25,GW,,,,,,,
Italy,2011,Bioenergy,1.89,0.42,0.42,GW,,,,,,,
Italy,2011,Clean,40.73,11.22,11.22,GW,,,,,,,
Italy,2011,Coal,10.04,0,0,GW,,,,,,,
Italy,2011,Fossil,85.58,0.87,0.87,GW,,,,,,,
Italy,2011,Gas,73.33,0.87,0.87,GW,,,,,,,
Italy,2011,Hydro,17.78,0.22,0.22,GW,,,,,,,
Italy,2011,Nuclear,,0,0,GW,,,,,,,
Italy,2011,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2011,Other Renewables,1.1,0.01,0.01,GW,,,,,,,
Italy,2011,Solar,13.04,9.44,9.44,GW,,,,,,,
Italy,2011,Wind,6.92,1.13,1.13,GW,,,,,,,
Italy,2011,Wind and solar,19.96,10.57,10.57,GW,,,,,,,
Italy,2012,Bioenergy,2.8,0.91,0.91,GW,,,,,,,
Italy,2012,Clean,46.58,5.85,5.85,GW,,,,,,,
Italy,2012,Coal,10.04,0,0,GW,,,,,,,
Italy,2012,Fossil,85.47,-0.11,0,GW,,,,,,,
Italy,2012,Gas,73.22,-0.11,0,GW,,,,,,,
Italy,2012,Hydro,17.92,0.14,0.14,GW,,,,,,,
Italy,2012,Nuclear,,0,0,GW,,,,,,,
Italy,2012,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2012,Other Renewables,1.1,0,0,GW,,,,,,,
Italy,2012,Solar,16.66,3.62,3.62,GW,,,,,,,
Italy,2012,Wind,8.1,1.18,1.18,GW,,,,,,,
Italy,2012,Wind and solar,24.76,4.8,4.8,GW,,,,,,,
Italy,2013,Bioenergy,2.93,0.13,0.13,GW,,,,,,,
